a,une
reasonable,raisonnable
recall,rappeler
receive,recevoir
recent,recent
recently,recemment
recipe,recette
recognition,reconnaissance
recognize,reconnaitre
recommend,recommander
recommendation,recommandation
record,enregistrer
recording,enregistrement
recovery,recuperation
recruit,recruter
red,rouge
reduce,reduire
reduction,reduction
refer,referer
reference,reference
reflect,reflechir
reflection,reflexion
reform,reforme
refugee,refugie
refuse,refuser
regardless,independamment
regime,regime
region,region
regional,regional
regular,ordinaire
regularly,regulierement
regulate,reglementer
regulation,regulation
reinforce,renforcer
reject,rejeter
relate,rapporter
relation,relation
relative,relatif
relatively,relativement
release,liberation
relevant,pertinent
relief,soulagement
religion,religion
religious,religieux
remain,rester
remaining,restant
remarkable,remarquable
remind,rappeler
remove,supprimer
repeat,repeter
replace,remplacer
reply,repondre
report,rapport
reporter,journaliste
represent,representer
representation,representation
representative,representant
republican,republicain
reputation,reputation
request,demander
require,exiger
requirement,exigence
research,recherche
researcher,chercheur
resemble,ressembler
reservation,reservation
resident,resident
resist,resister
resolution,resolution
resolve,resoudre
resort,recours
resource,ressource
respond,repondre
respondent,intime
response,reponse
responsibility,responsabilite
responsible,responsable
restaurant,restaurant
restore,restaurer
restriction,restriction
result,resultat
retain,conserver
retirement,retraite
return,revenir
reveal,reveler
revenue,revenu
review,revoir
revolution,revolution
rhythm,rythme
rice,riz
rich,riche
rid,debarrasser
ride,balade
rifle,fusil
right,droit
ring,anneau
rise,augmenter
risk,risque
river,fleuve
road,route
rock,roche
role,role
roll,rouler
romantic,romantique
roof,toit
room,piece
root,racine
rope,corde
rose,rose
rough,rugueux
roughly,grossierement
round,tour
route,route
routine,routine
row,ligne
rub,frotter
rule,regner
run,cours
running,fonctionnement
rural,rural
russian,russe
sacred,sacre
sad,triste
safety,securite
said,mentionne
sail,naviguer
sake,sake
salad,salade
sale,vendre
sales,ventes
salt,sel
same,meme
sample,echantillon
sanction,sanction
sand,sable
sat,sam
satellite,satellite
satisfy,satisfaire
sauce,sauce
save,enregistrer
saving,economie
saw,vu
say,dire
scale,escalader
scandal,scandale
scared,effraye
scenario,scenario
scene,scene
schedule,calendrier
scheme,scheme
scholar,savant
science,science
scientific,scientifique
scientist,scientifique
scope,portee
score,but
screen,filtrer
script,scenario
sea,mer
search,chercher
season,saison
seat,siege
second,seconde
secret,secret
secretary,secretaire
section,section
sector,secteur
secure,securise
security,securite
see,voir
seek,chercher
seem,sembler
segment,segment
select,selectionner
selection,selection
self,soi
sell,vendre
senate,senat
senator,senateur
send,envoyer
senior,senior
sense,sens
sensitive,sensible
sent,envoye
sentence,phrase
separate,separe
sequence,sequence
series,series
serious,serieuse
seriously,serieusement
serve,servir
service,service
session,session
set,ensemble
setting,reglage
settle,regler
settlement,reglement
seven,sept
several,nombreuses
severe,severe
sex,sexe
sexual,sexuel
shade,ombre
shadow,ombre
shake,secouer
shall,doit
shape,forme
share,partager
sharp,tranchant
she,elle
sheet,feuille
shelf,etagere
shell,coquille
shelter,abri
shift,decalage
shine,eclat
ship,bateau
shit,merde
shock,choc
shoe,chaussure
shoot,tirer
shooting,tournage
shop,magasin
shopping,achats
shore,rive
short,court
shortly,prochainement
shot,tirer
should,devrait
shoulder,epaule
shout,crier
show,spectacle
shower,douche
shut,fermer
sick,malade
side,cote
sigh,soupir
sight,vue
sign,signe
signal,signal
significance,importance
significant,important
significantly,significativement
silence,silence
silent,silencieux
silver,argent
similar,similaire
simple,facile
simply,simplement
sin,peche
since,puisque
sing,chanter
singer,chanteur
single,celibataire
sink,evier
sir,monsieur
sister,soeur
sit,asseoir
site,placer
situation,situation
six,six
size,taille
ski,ski
skill,competence
skin,peau
sky,ciel
slave,trimer
sleep,dormir
slice,tranche
slight,leger
slightly,legerement
slip,glisser
slow,lent
slowly,lentement
small,petit
smart,intelligent
smell,sentir
smoke,fumee
smooth,lisse
snow,neiger
so,donc
soccer,football
social,social
society,societe
software,logiciel
soil,sol
solar,solaire
soldier,soldat
solid,solide
solution,solution
solve,resoudre
some,certains
sometimes,parfois
son,fils
song,chanson
soon,bientot
sophisticated,sophistique
sorry,pardon
sort,sorte
soul,ame
sound,sonner
soup,soupe
south,sud
soviet,sovietique
space,espacer
spanish,espagnol
speak,parlez
speaker,conferencier
special,special
specialist,specialiste
species,espece
specific,specifique
speech,discours
spell,epeler
spend,depenser
spending,depenses
spin,tournoyer
spirit,esprit
spiritual,spirituel
split,diviser
spoke,parlait
sport,sport
spot,endroit
spread,diffuser
spring,printemps
square,carre
squeeze,presser
stability,stabilite
stable,stable
staff,personnel
stage,organiser
stair,escalier
stake,pieu
stand,supporter
standing,debout
star,star
stare,regard
start,debut
state,etat
statement,declaration
station,gare
statistics,statistiques
status,statut
stay,rester
stead,place
steady,constant
steal,voler
steam,fumer
steel,acier
step,etape
stick,coller
still,toujours
stir,remuer
stock,stock
stomach,estomac
stone,calcul
stop,arreter
store,boutique
storm,tempete
story,histoire
straight,droit
strange,etrange
stranger,etranger
strategic,strategique
strategy,strategie
stream,flux
street,rue
strength,force
strengthen,renforcer
stress,stress
strike,frapper
strip,deshabiller
strong,fort
strongly,fortement
structure,structure
struggle,lutter
student,etudiant
studio,studio
study,etudier
stuff,truc
stupid,stupide
style,style
subject,matiere
subsequent,subsequent
substance,substance
substantial,substantiel
subtract,soustraire
succeed,reussir
success,succes
such,tel
sudden,soudain
suddenly,soudainement
suffer,souffrir
sufficient,suffisant
suffix,suffixe
suggest,suggerer
suggestion,suggestion
suicide,suicide
suit,combinaison
summit,sommet
sun,soleil
super,super
support,support
supporter,supporter
suppose,supposer
supposed,suppose
supreme,supreme
surely,surement
surface,surface
surgery,operation
surprise,surprendre
surprised,surpris
surprising,surprenant
surprisingly,etonnamment
surround,entourer
survey,enquete
survival,survie
survive,survivre
survivor,survivant
suspect,suspect
sustain,soutenir
swear,jurer
sweep,balayer
sweet,doux
swim,nager
swing,balancoire
switch,changer
syllable,syllabe
symbol,symbole
symptom,symptome
system,systeme
table,table
tactic,tactique
tail,queue
take,prendre
tale,conte
talent,talent
talk,parlez
tall,haut
tank,char
tap,robinet
tape,ruban
target,cible
task,tache
taste,gout
tax,impot
taxpayer,contribuable
tea,the
teach,enseigner
teacher,prof
teaching,enseignement
team,equipe
tear,larme
technical,technique
technique,technique
teen,adolescent
teenager,adolescent
telephone,telephone
telescope,telescope
television,television
tell,raconter
temperature,temperature
temporary,temporaire
ten,dix
tend,tendre
tendency,tendance
tennis,tennis
tension,tension
tent,tente
term,terme
terms,termes
terrible,terrible
territory,territoire
terrorism,terrorisme
terrorist,terroriste
test,test
testify,temoigner
testimony,temoignage
testing,essai
text,texte
than,que
thank,remercier
thanks,merci
that,cette
the,les
theater,theatre
their,leur
them,eux
theme,theme
then,alors
theory,theorie
therapy,therapie
there,la
therefore,donc
these,ces
thick,epais
thin,mince
thing,chose
think,pense
thinking,pensee
third,troisieme
thirty,trente
this,cette
those,celles
thought,pensee
thousand,mille
threat,menace
threaten,menacer
three,trois
throat,gorge
through,par
throw,lancer
thus,donc
ticket,billet
tie,attacher
tight,serre
time,temps
tiny,minuscule
tip,astuce
tire,pneu
tired,fatigue
tissue,tissu
title,titre
to,a
together,ensemble
told,raconte
tomato,tomate
tomorrow,demain
tone,ton
tongue,langue
too,trop
tool,outil
tooth,dent
top,haut
topic,sujet
toss,lancer
totally,totalement
touch,toucher
tough,dure
tour,visiter
tourist,touristique
tournament,tournoi
toward,vers
towards,envers
town,ville
toy,jouet
trace,trace
track,piste
trade,commerce
tradition,tradition
traditional,traditionnel
traffic,circulation
trail,piste
train,former
training,entrainement
transfer,transfert
transform,transformer
transformation,transformation
transition,transition
translate,traduire
transportation,transport
travel,voyager
treat,traiter
treatment,traitement
treaty,traite
tree,arbre
tremendous,enorme
trend,tendance
trial,essai
triangle,triangle
tribe,tribu
trick,tour
trip,voyage
troop,troupe
trouble,difficulte
truly,vraiment
trust,confiance
truth,verite
try,essayer
tube,tube
tunnel,tunnel
turn,tourner
twelve,douze
twenty,vingt
twin,double
two,deux
type,taper
typical,typique
typically,typiquement
ugly,moche
ultimate,ultime
ultimately,finalement
unable,incapable
uncle,oncle
under,sous
undergo,subir
understand,comprendre
understanding,entente
unfortunately,malheureusement
uniform,uniforme
union,syndicat
unique,unique
unit,unite
united,uni
universal,universel
universe,univers
university,universite
unknown,inconnu
unlikely,improbable
unusual,inhabituel
upon,sur
upper,superieur
urban,urbain
urge,exhorter
us,nous
use,utilisation
used,utilise
useful,utile
user,utilisateur
usual,habituel
utility,utilitaire
vacation,vacances
valley,vallee
value,valeur
variable,variable
variation,variation
variety,variete
various,divers
vary,varier
vast,vaste
vegetable,legume
vehicle,vehicule
venture,entreprise
verb,verbe
version,version
versus,contre
very,tres
vessel,navire
veteran,veteran
victim,victime
video,video
view,vue
viewer,telespectateur
village,village
violate,violer
violation,violation
violent,violent
virtually,virtuellement
virtue,vertu
virus,virus
visible,visible
vision,vision
visit,visite
visitor,visiteur
visual,visuel
vital,vital
voice,voix
volunteer,benevole
vote,voter
voter,electeur
vowel,voyelle
vs,vs
vulnerable,vulnerable
wage,salaire
wait,attendre
walk,marche
wall,mur
wander,errer
want,vouloir
war,guerre
warm,chaleureux
warn,avertir
warning,attention
was,etait
wash,lavage
waste,dechets
watch,regardez
wave,vague
way,maniere
we,nous
weak,faible
wealth,richesse
wealthy,riche
weapon,arme
wear,porter
wedding,mariage
weekly,hebdomadaire
weigh,peser
weight,poids
welcome,bienvenue
well,bien
were,etaient
west,ouest
western,occidental
wet,mouiller
what,quel
wheel,roue
when,lorsque
where,ou
which,lequel
whisper,chuchotement
white,blanche
who,qui
whole,entier
whom,qui
whose,dont
why,pourquoi
wide,large
widely,largement
widespread,repandu
wife,epouse
wild,sauvage
will,volonte
willing,dispose
win,gagner
wind,vent
wine,vin
wing,aile
winner,gagnant
wipe,essuyer
wire,cable
wisdom,sagesse
wise,sage
wish,souhaiter
with,avec
within,dans
witness,temoin
woman,femme
women,femmes
wonder,merveille
wonderful,formidable
wood,bois
word,mot
work,travail
worker,ouvrier
working,travail
works,travaux
workshop,atelier
world,monde
worried,preoccupe
worth,valeur
would,aurait
wound,blesser
wrap,envelopper
write,ecrivez
writer,ecrivain
written,ecrit
wrong,tort
yard,cour
yeah,oui
year,annee
yell,hurler
yellow,jaune
yes,oui
yesterday,hier
yet,encore
yield,rendement
you,tu
young,jeune
your,ton
youth,jeunesse
zone,zone
zoology,zoologie
zoo,zoo
zombie,zombi
zoom,zoom
